id,note,translate
183,"An ancient vampire queen who has mastered blood magic. Drains life with each attack, healing herself and powering up. Creates blood golems from fallen enemies or allies. Has a 'blood moon' state every fifth turn where all her abilities are doubled in power. Can only be permanently defeated by using holy-type attacks when she's below 20% health.","Un'antica regina vampiro che ha padroneggiato la magia del sangue. Prosciuga la vita a ogni attacco, curandosi e potenziandosi. Crea golem di sangue da nemici o alleati caduti. Ha uno stato di ""luna di sangue"" ogni cinque turni, in cui tutte le sue abilità raddoppiano la loro potenza. Può essere sconfitta definitivamente solo usando attacchi di tipo sacro quando ha meno del 20% di salute."
184,"A legendary treasure chest mimic with an almost impenetrable shell. Can absorb and copy the most powerful ability used against it. Gradually transforms through multiple phases, each with different weaknesses. Has a 'greed curse' that reduces gold and item drop rates for the entire party. The shell can only be broken by using specific elemental attacks in a specific sequence.","Un leggendario mimetismo di forziere del tesoro con un guscio quasi impenetrabile. Può assorbire e copiare l'abilità più potente usata contro di esso. Si trasforma gradualmente attraverso diverse fasi, ognuna con diverse debolezze. Ha una ""maledizione dell'avidità"" che riduce la probabilità di ottenere oro e oggetti per l'intero gruppo. Il guscio può essere rotto solo usando specifici attacchi elementali in una sequenza specifica."
185,"An unstable entity that exists simultaneously in multiple states. Randomly shifts between physical and magical forms every third turn. In physical form, immune to magic; in magical form, immune to physical attacks. Creates temporal duplicates that share a health pool with the main entity. Players must time attacks to match its current vulnerability phase.","Un'entità instabile che esiste simultaneamente in più stati. Passa casualmente dalla forma fisica a quella magica ogni tre turni. In forma fisica, immune alla magia; in forma magica, immune agli attacchi fisici. Crea duplicati temporali che condividono una riserva di salute con l'entità principale. I giocatori devono sincronizzare gli attacchi in modo che corrispondano alla sua attuale fase di vulnerabilità."
186,"A bloated grub crawling in carrion, it devours rot and breeds in the stench of decay.
LV. 1 Crawling maggot","Una larva gonfia che striscia tra le carogne, divora il marciume e si riproduce nel tanfo della decomposizione.
LV. 1 Verme strisciante"
187,"The bloated king of the sewer rats, Plaguelord Rattus commands disease and vermin. Resistant to ice but weak to poison.","Il re gonfio dei topi di fogna, il Signore della Peste Rattus, domina malattie e parassiti. Resistente al ghiaccio ma debole al veleno."
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,A warrior clad in cursed armor that feeds on fear and drains courage,Un guerriero vestito con un'armatura maledetta che si nutre di paura e prosciuga il coraggio
203,A massive reptile with hypnotic eyes and a powerful tail strike,Un enorme rettile con occhi ipnotici e un potente colpo di coda
204,A sorcerer who specializes in sleep magic and manipulating dreams,Uno stregone specializzato nella magia del sonno e nella manipolazione dei sogni
205,Leader of a wolf pack that can summon reinforcements and strike fear with its howl,Capo di un branco di lupi che può evocare rinforzi e incutere timore con il suo ululato
206,"The offspring of an ancient sea monster, with powerful tentacles and water control","La prole di un antico mostro marino, con tentacoli potenti e controllo dell'acqua"
207,"A dragon adapted to extreme cold, capable of freezing entire areas with its breath","Un drago adattato al freddo estremo, capace di congelare intere aree con il suo respiro"
208,A battle-scarred minotaur equipped with heavy armor and a massive battle axe,"Un minotauro segnato dalla battaglia, dotato di un'armatura pesante e di un'enorme ascia da battaglia"
209,A winged humanoid with a sonic scream that can confuse and disorient enemies,Un umanoide alato con un urlo sonico che può confondere e disorientare i nemici
210,A rare treasure chest mimic with valuable contents but extremely dangerous teeth,Un raro scrigno del tesoro che imita un contenuto prezioso ma con denti estremamente pericolosi
211,A massive humanoid of living stone that can cause earthquakes with its footsteps,Un enorme umanoide di pietra vivente che può causare terremoti con i suoi passi
212,An elegant vampiress who drains life force and can dominate weak-willed victims,Un'elegante vampira che prosciuga la forza vitale e può dominare le vittime deboli di volontà
213,"An ancient statue brought to life by the spirits of fallen warriors, thirsting for battle","Un'antica statua riportata in vita dagli spiriti dei guerrieri caduti, assetati di battaglia"
214,A heavily armed mechanical soldier with advanced weaponry and auto-repair systems,Un soldato meccanico pesantemente armato con armi avanzate e sistemi di riparazione automatica
215,A tentacled humanoid that feeds on thoughts and can drain life force from a distance,Un umanoide tentacolare che si nutre di pensieri e può drenare la forza vitale da lontano
216,A powerful air spirit that can transform into a miniature tornado,Un potente spirito dell'aria che può trasformarsi in un tornado in miniatura
217,A massive snake with potent venom and crushing coils,Un serpente enorme con veleno potente e spire schiaccianti
218,A beautiful sea creature that lures victims with hypnotic songs and blinding lights,Una bellissima creatura marina che attira le vittime con canti ipnotici e luci accecanti
219,A powerful demon wearing molten armor and wielding flames as weapons,Un potente demone che indossa un'armatura fusa e brandisce fiamme come armi
220,A water mage that can manipulate ocean currents and create high-pressure water jets,Un mago dell'acqua in grado di manipolare le correnti oceaniche e creare getti d'acqua ad alta pressione
221,A large feline with exceptional stealth abilities and berserker rage when cornered,Un grande felino con eccezionali capacità di furtività e rabbia berserker quando è alle strette
222,A massive war machine with an energy shield and powerful beam weapons,Una massiccia macchina da guerra con uno scudo energetico e potenti armi a raggi
223,A mage who can bend perception and create illusions that confuse and disorient,Un mago che può piegare la percezione e creare illusioni che confondono e disorientano
224,A deep sea creature with venomous fangs and hypnotic patterns along its scales,Una creatura delle profondità marine con zanne velenose e motivi ipnotici lungo le sue squame
225,A forest predator that can camouflage itself among vegetation and strike with deadly precision,Un predatore della foresta che può mimetizzarsi tra la vegetazione e colpire con precisione mortale
226,"A suit of enchanted armor that moves on its own, using sharp claws to attack intruders","Un'armatura incantata che si muove da sola, usando artigli affilati per attaccare gli intrusi"
227,"A water elemental infused with salt and oceanic minerals, capable of high-pressure water jets","Un elemento acquatico infuso con sale e minerali oceanici, capace di getti d'acqua ad alta pressione"
228,"A mischievous fire elemental that darts about quickly, setting surroundings ablaze","Un elementale del fuoco dispettoso che si muove rapidamente, incendiando l'ambiente circostante"
229,A creature of living stone and soil that can reshape its body and create tremors,Una creatura di pietra e terra viventi che può rimodellare il suo corpo e creare tremori
230,A wind elemental that can turn nearly invisible and attack with razor-sharp air currents,Un elementale del vento che può diventare quasi invisibile e attaccare con correnti d'aria taglienti come rasoi
231,A beautiful but deadly creature whose mesmerizing songs lure victims to their doom,Una creatura bellissima ma mortale le cui canzoni ipnotizzanti attirano le vittime verso la loro rovina
232,"A large, vampiric samurai that drains life force from its victims to heal itself",Un grande samurai vampirico che succhia la forza vitale dalle sue vittime per curarsi
233,A ghostly entity that feeds on grief and can paralyze victims with overwhelming sadness,Un'entità spettrale che si nutre di dolore e può paralizzare le vittime con una tristezza travolgente
234,"A mystic that can trap enemies in recursive nightmares, manipulating their perceptions","Un mistico che può intrappolare i nemici in incubi ricorsivi, manipolando le loro percezioni"
235,A skilled tactical leader who can boost allies' morale while misleading enemies,Un abile leader tattico che può aumentare il morale degli alleati mentre inganna i nemici
236,A giant spider that has evolved the ability to generate electricity in its silk glands,Un ragno gigante che ha sviluppato la capacità di generare elettricità nelle sue ghiandole della seta
237,A gelatinous creature composed of acidic slime that can paralyze on contact,Una creatura gelatinosa composta da melma acida che può paralizzare al contatto
238,A malfunctioning security robot with advanced weapons systems and toxic gas deployment,Un robot di sicurezza malfunzionante con sistemi d'arma avanzati e dispiegamento di gas tossici
239,A powerful sorceress who specializes in ice magic and mind control,Una potente strega specializzata nella magia del ghiaccio e nel controllo mentale
240,A giant scorpion with enhanced venom that causes multiple status effects,Uno scorpione gigante con veleno potenziato che provoca molteplici effetti di stato
241,A deep-sea creature with multiple tentacles that can blind and entangle prey,Una creatura degli abissi marini dotata di molteplici tentacoli che possono accecare e intrappolare la preda
242,"A juvenile fire dragon whose scales are still forming, leaving some vulnerable spots","Un drago di fuoco giovane le cui squame si stanno ancora formando, lasciando alcuni punti vulnerabili"
243,A young ice dragon that can create blizzards and freeze enemies solid,Un giovane drago di ghiaccio che può creare bufere di neve e congelare i nemici
244,An elite assassin who strikes from darkness and can steal valuable items,Un assassino d'élite che colpisce dall'oscurità e può rubare oggetti di valore
245,"A cunning predator that blends perfectly with jungle foliage, striking with venomous fangs when prey least expects it","Un predatore astuto che si mimetizza perfettamente con il fogliame della giungla, colpendo con zanne velenose quando la preda meno se lo aspetta"
246,A capricious air spirit that can turn nearly invisible and create disorienting whirlwinds around its targets,Uno spirito dell'aria capriccioso che può diventare quasi invisibile e creare vortici disorientanti attorno ai suoi bersagli
247,A highly acidic ooze that can dissolve armor on contact and split into smaller entities when attacked,Una melma altamente acida che può dissolvere l'armatura al contatto e dividersi in entità più piccole quando viene attaccata
248,"A blood-drinking warrior who gains strength and speed with each successful strike, becoming more dangerous as the battle progresses","Un guerriero bevitore di sangue che acquisisce forza e velocità ad ogni colpo andato a segno, diventando più pericoloso con l'avanzare della battaglia."
249,"A holy warrior sworn to protect sacred lands, wielding divine magic that purges darkness and reinforces allies","Un guerriero sacro che ha giurato di proteggere le terre sacre, brandendo la magia divina che purifica l'oscurità e rafforza gli alleati"
250,"A sorcerer who manipulates cold energies to slow enemies and create ice barriers, gradually freezing the battlefield","Uno stregone che manipola le energie fredde per rallentare i nemici e creare barriere di ghiaccio, congelando gradualmente il campo di battaglia"
251,"An ancient construct of animated bones and stone that guards forgotten tombs, immune to fear and mind effects","Un antico costrutto di ossa e pietre animate che custodisce tombe dimenticate, immune alla paura e agli effetti mentali"
252,"A malevolent spirit that drains life essence through touch, causing victims to experience their worst memories","Uno spirito maligno che prosciuga l'essenza vitale attraverso il tatto, facendo sì che le vittime rivivano i loro peggiori ricordi."
253,"A spider mutated by volcanic energies, spinning webs of burning silk that ignite on contact with oxygen","Un ragno mutato dalle energie vulcaniche, che tesse ragnatele di seta ardente che si infiammano al contatto con l'ossigeno"
254,A master of shadow magic who can teleport short distances and coat weapons in paralyzing venom,Un maestro della magia dell'ombra che può teletrasportarsi per brevi distanze e ricoprire le armi di veleno paralizzante
255,"A massive earth elemental whose body constantly reforms, hurling boulders and causing localized earthquakes","Un enorme elementale della terra il cui corpo si riforma costantemente, lanciando massi e causando terremoti localizzati"
256,A sentient collection of cursed ocean water that can drown victims from within after infiltrating their bodies,Una raccolta senziente di acqua oceanica maledetta che può annegare le vittime dall'interno dopo essersi infiltrata nei loro corpi
257,"A volatile fire spirit that explodes into multiple flame jets when threatened, setting all nearby combustibles ablaze","Uno spirito di fuoco volatile che esplode in molteplici getti di fiamma quando minacciato, incendiando tutti i combustibili nelle vicinanze."
258,A possessed suit of armor that can detach its weapons to attack from multiple angles simultaneously,Un'armatura posseduta che può staccare le sue armi per attaccare da più angolazioni simultaneamente
259,A mesmerizing aquatic sorceress who commands currents and marine life while clouding the minds of her foes,Un'affascinante strega acquatica che controlla le correnti e la vita marina mentre annebbia le menti dei suoi nemici
260,"A psychic prodigy who can reshape perceptions and extract memories, turning allies against each other","Un prodigio psichico che può rimodellare le percezioni ed estrarre ricordi, mettendo gli alleati l'uno contro l'altro"
261,A predatory cephalopod that uses its many tentacles to drag victims underwater while injecting paralytic venom,Un cefalopode predatore che usa i suoi numerosi tentacoli per trascinare le vittime sott'acqua mentre inietta veleno paralizzante
262,"A newly matured fire dragon whose scales still drip with magma, setting the ground ablaze where it walks","Un drago di fuoco appena cresciuto le cui scaglie gocciolano ancora di magma, incendiando il terreno dove cammina"
263,A serpentine ice drake that can burrow through frozen ground and emerge with explosive force,Un drago di ghiaccio serpentino che può scavare nel terreno ghiacciato ed emergere con forza esplosiva
264,"A venomous arachnid that can inject eggs which hatch inside victims, causing devastating internal damage","Un aracnide velenoso che può iniettare uova che si schiudono all'interno delle vittime, causando danni interni devastanti"
265,"An elite assassin trained in the forbidden arts, capable of momentarily becoming incorporeal to evade attacks","Un assassino d'élite addestrato nelle arti proibite, capace di diventare momentaneamente incorporeo per eludere gli attacchi"
266,A collection of bones animated by dark magic that absorbs life energy from nearby living creatures,Una raccolta di ossa animate dalla magia oscura che assorbe l'energia vitale dalle creature viventi vicine
267,A fiery arachnid from volcanic caves that spins inflammable webs to trap prey before immolating them,Un aracnide infuocato proveniente dalle grotte vulcaniche che tesse ragnatele infiammabili per intrappolare le prede prima di immolarle
268,"A powerful ice mage who can create blizzard conditions even in warm environments, freezing enemies solid","Un potente mago del ghiaccio che può creare condizioni di bufera di neve anche in ambienti caldi, congelando i nemici"
269,"A divine protector blessed by celestial powers, capable of healing allies and smiting undead with holy light","Un protettore divino benedetto dai poteri celestiali, capace di curare gli alleati e colpire i non morti con la luce sacra"
270,A wind elemental that can form multiple miniature tornadoes to attack from all directions while remaining elusive,Un elementale del vento che può formare più tornado in miniatura per attaccare da tutte le direzioni pur rimanendo sfuggente
271,"A tormented spirit that feeds on emotional pain, inducing despair and draining vitality from those who succumb","Uno spirito tormentato che si nutre di dolore emotivo, inducendo disperazione e prosciugando la vitalità di coloro che soccombono."
272,"A mystic who can manipulate perceptions, creating illusions so convincing they can cause physical harm","Un mistico che può manipolare le percezioni, creando illusioni così convincenti da poter causare danni fisici"
273,"A highly evolved ooze with multiple nuclei that can divide and reform, each part capable of autonomous action","Un'embrione altamente evoluto con nuclei multipli che possono dividersi e riformarsi, ogni parte capace di azione autonoma"
274,"A magically animated suit of armor that can reform itself after taking damage, wielding enchanted weapons","Un'armatura animata magicamente che può riformarsi dopo aver subito danni, brandendo armi incantate"
275,"A sentient rock formation that can reshape its body at will, lashing out with stone tendrils and crushing pressure","Una formazione rocciosa senziente che può rimodellare il suo corpo a piacimento, sferzando con viticci di pietra e una pressione schiacciante"
276,"A venomous predator that can trigger hallucinations in its prey, making escape nearly impossible","Un predatore velenoso che può scatenare allucinazioni nelle sue prede, rendendo la fuga quasi impossibile"
277,"A fallen holy warrior who now feeds on life essence, wielding corrupted divine power alongside vampiric abilities","Un guerriero sacro caduto che ora si nutre di essenza vitale, brandendo un potere divino corrotto insieme ad abilità vampiriche"
278,"An incorporeal entity that consumes memories and emotions, leaving victims as empty husks","Un'entità incorporea che consuma ricordi ed emozioni, lasciando le vittime come involucri vuoti"
279,A masterful water mage who commands fierce currents and can draw the moisture from living bodies,Un abile mago dell'acqua che controlla le correnti impetuose e può estrarre l'umidità dai corpi viventi
280,A stone giant whose footsteps cause minor earthquakes and who can weaponize boulders with devastating force,Un gigante di pietra i cui passi causano piccoli terremoti e che può trasformare i massi in armi con una forza devastante
281,A powerful telepath who can implant false memories and turn companions against each other,Un potente telepate che può impiantare falsi ricordi e mettere i compagni l'uno contro l'altro
282,An ancient mechanical guardian with rotating armor plates that adapt to different types of attacks,Un antico guardiano meccanico con piastre di armatura rotanti che si adattano a diversi tipi di attacchi
283,"A fusion of multiple slimes that can separate and recombine at will, each component possessing different toxins","Una fusione di più slime che possono separarsi e ricombinarsi a piacimento, ogni componente possiede tossine diverse"
284,"An ice mage who can create weapons and shields from frost, manipulating them with precise telekinetic control","Un mago del ghiaccio che può creare armi e scudi dal gelo, manipolandoli con un preciso controllo telecinetico"
285,"A young fire elemental with unusually developed powers, capable of creating precise flame constructs","Un giovane elementale del fuoco con poteri insolitamente sviluppati, capace di creare precise costruzioni di fiamma"
286,"A warrior who died in battle but refused to pass on, now fighting with supernatural strength and resilience","Un guerriero morto in battaglia ma che si è rifiutato di morire, ora combatte con forza e resilienza soprannaturali"
287,A holy warrior whose faith manifests as powerful defensive auras and smiting attacks against the unholy,Un guerriero santo la cui fede si manifesta sotto forma di potenti aure difensive e attacchi devastanti contro gli empi.
288,"A master of poisons who has transformed his own body into a toxic vessel, exuding deadly vapors","Un maestro di veleni che ha trasformato il suo corpo in un contenitore tossico, emanando vapori mortali"
289,"A specialized assassin who hunts magical creatures, using enchanted weapons that disrupt arcane abilities","Un assassino specializzato che caccia creature magiche, usando armi incantate che interrompono le abilità arcane"
290,An air elemental that can compress itself into devastating wind blades or expand to create widespread chaos,Un elementale dell'aria che può comprimersi in lame di vento devastanti o espandersi per creare un caos diffuso
291,"A fire-breathing reptilian beast with scale plates that radiate intense heat, setting nearby objects aflame","Una bestia rettiliana sputafuoco con piastre di scaglie che irradiano calore intenso, incendiando gli oggetti vicini"
292,A sea witch who commands aquatic creatures and can temporarily transform opponents into marine life,Una strega del mare che comanda le creature acquatiche e può trasformare temporaneamente gli avversari in creature marine.
293,A phantasmal entity that can manifest victims' deepest fears as temporary physical constructs,Un'entità fantasmatica che può manifestare le paure più profonde delle vittime come costrutti fisici temporanei
294,A plant-animal hybrid that can rapidly grow thorny vines to entangle prey before injecting neurotoxins,Un ibrido pianta-animale in grado di far crescere rapidamente viticci spinosi per intrappolare la preda prima di iniettare neurotossine
295,"A cloaked spellcaster who can open brief portals to the void, unleashing chaotic energies that distort reality","Un incantatore mascherato che può aprire brevi portali verso il vuoto, scatenando energie caotiche che distorcono la realtà"
296,An ancient forest protector with bark-like skin that can command plants and vines to restrain intruders,Un antico protettore della foresta con una pelle simile alla corteccia che può comandare piante e viti per trattenere gli intrusi
297,"A celestial enforcer who judges the worthy and unworthy, wielding blinding light that can stun opponents","Un esecutore celeste che giudica i degni e gli indegni, brandendo una luce accecante che può stordire gli avversari"
298,"A stealthy predator with barbed stingers that inject a potent neurotoxin, immobilizing prey for easy consumption","Un predatore furtivo con pungiglioni uncinati che iniettano una potente neurotossina, immobilizzando la preda per un facile consumo."
299,A massive elemental fusion of fire and earth that can hurl flaming boulders and create waves of scorching heat,Una massiccia fusione elementale di fuoco e terra che può scagliare massi infuocati e creare ondate di calore rovente
300,A winged demonic entity that breathes streams of wildfire and leaves a trail of burning embers in its wake,Un'entità demoniaca alata che sputa flussi di fuoco e lascia una scia di braci ardenti al suo passaggio
301,A woodland fairy with powerful charm magic who can turn nature itself against intruders in her domain,Una fata dei boschi con una potente magia di fascino che può rivoltare la natura stessa contro gli intrusi nel suo dominio
302,A master of water magic who can form precise aquatic constructs and control the moisture in the air,Un maestro della magia dell'acqua che può creare costruzioni acquatiche precise e controllare l'umidità nell'aria
303,"A transparent cube of living acid that dissolves and absorbs anything it touches, growing in power with each consumption","Un cubo trasparente di acido vivo che dissolve e assorbe tutto ciò che tocca, aumentando la sua potenza ad ogni consumo"
304,A celestial mystic who can channel cosmic energy to create miniature stars that orbit and protect them,Un mistico celeste che può incanalare l'energia cosmica per creare stelle in miniatura che orbitano attorno a loro e li proteggono
305,"A vampiric entity that drains not just blood but life force itself, growing stronger and faster with each successful attack","Un'entità vampirica che non solo prosciuga il sangue ma anche la forza vitale stessa, diventando più forte e veloce ad ogni attacco riuscito"
306,A skeletal warlord who can command lesser undead and whose ancient weapons cause wounds that resist magical healing,Un signore della guerra scheletrico che può comandare i non morti minori e le cui antiche armi causano ferite che resistono alla guarigione magica
307,A powerful frost mage who summons ice storms and can create temporary duplicates of themselves from snow,Un potente mago del gelo che evoca tempeste di ghiaccio e può creare duplicati temporanei di se stesso dalla neve
308,A reptilian hunter who coats arrows with a fast-acting paralytic toxin harvested from rare jungle plants,Un cacciatore di rettili che ricopre le frecce con una tossina paralitica ad azione rapida raccolta da rare piante della giungla
309,A psychic who can implant false memories and create realistic illusions by manipulating neural pathways,Un sensitivo che può impiantare falsi ricordi e creare illusioni realistiche manipolando i percorsi neurali
310,"A holy knight whose armor channels divine energy, creating barriers of light that repel unholy creatures","Un cavaliere sacro la cui armatura canalizza l'energia divina, creando barriere di luce che respingono le creature empie"
311,A carnivorous plant-beast hybrid that uses pheromones to lure prey before striking with poisonous thorns,Un ibrido tra una pianta e una bestia carnivora che usa i feromoni per attirare la preda prima di colpirla con spine velenose.
312,"A massive snake with scales that burn like hot coals, capable of spitting streams of liquid fire","Un enorme serpente con squame che bruciano come carboni ardenti, capace di sputare getti di fuoco liquido"
313,A young but extraordinarily gifted mage who can manipulate multiple elements simultaneously with instinctive precision,Un mago giovane ma straordinariamente dotato che può manipolare più elementi simultaneamente con precisione istintiva
314,A magical construct of animated gold and precious metals that becomes harder to damage as the battle progresses,Un costrutto magico di oro animato e metalli preziosi che diventa più difficile da danneggiare man mano che la battaglia procede
315,A demonic entity wreathed in perpetual flames that can unleash concentrated fire blasts that melt stone,Un'entità demoniaca avvolta in fiamme perpetue che può scatenare raffiche di fuoco concentrate che sciolgono la pietra
316,A massive stone giant whose footsteps cause minor tremors and who can hurl boulders with devastating accuracy,Un enorme gigante di pietra i cui passi causano lievi tremori e che può scagliare massi con una precisione devastante
317,A spectral commander who can analyze and counter enemy strategies while creating illusory duplicates,Un comandante spettrale in grado di analizzare e contrastare le strategie nemiche creando duplicati illusori
318,A master of ice magic who can summon blizzards and create crystalline constructs that fight autonomously,Un maestro della magia del ghiaccio che può evocare bufere di neve e creare costrutti cristallini che combattono in modo autonomo
319,A primordial undead entity that drains life force with each strike and can temporarily animate nearby corpses,Un'entità primordiale non morta che assorbe la forza vitale a ogni colpo e può animare temporaneamente i cadaveri vicini.
320,An elite assassin who can teleport through shadows and deliver strikes that cause lingering wounds,Un assassino d'élite che può teletrasportarsi attraverso le ombre e sferrare colpi che causano ferite persistenti
321,A powerful water elemental that can create whirlpools and control multiple water tendrils simultaneously,Un potente elementale dell'acqua che può creare vortici e controllare più viticci d'acqua contemporaneamente
322,A powerful dream entity that can manifest victims' deepest fears as temporary physical constructs,Una potente entità onirica che può manifestare le paure più profonde delle vittime come costrutti fisici temporanei
323,An ancient vampire who can command lesser undead and transform into a cloud of mist to avoid damage,Un antico vampiro che può comandare i non morti minori e trasformarsi in una nuvola di nebbia per evitare danni
324,A giant elemental fusion of stone and crystal that can redirect magical attacks and absorb minerals to heal,Una gigantesca fusione elementale di pietra e cristallo che può reindirizzare gli attacchi magici e assorbire i minerali per curare
325,A shapeless entity from the depths that can engulf victims whole and digest them within its amorphous body,Un'entità informe proveniente dalle profondità che può inghiottire le vittime intere e digerirle nel suo corpo amorfo.
326,A radiant celestial guardian that can teleport instantly between locations and manipulate light as a weapon,Un guardiano celeste radioso che può teletrasportarsi istantaneamente da un luogo all'altro e manipolare la luce come un'arma
327,A reptilian royalty who commands poisonous creatures and can exhale clouds of paralyzing toxins,Un rettile reale che comanda creature velenose e può esalare nuvole di tossine paralizzanti
328,"A divine champion who channels pure light energy, creating weapons and shields of solidified radiance","Un campione divino che canalizza pura energia luminosa, creando armi e scudi di radiosità solidificata"
329,A powerful psychic who can dominate multiple minds simultaneously and create devastating telekinetic force waves,Un potente sensitivo che può dominare più menti simultaneamente e creare onde di forza telecinetica devastanti
330,A monstrous arachnid that spins webs of pure shadow that drain life force and restrict movement,Un aracnide mostruoso che tesse ragnatele di pura ombra che prosciugano la forza vitale e limitano i movimenti
331,A colossal earth elemental that can reshape terrain at will and cause localized earthquakes with each step,Un colossale elementale della terra che può rimodellare il terreno a piacimento e causare terremoti localizzati ad ogni passo
332,An ancient fire dragon whose mere presence causes flammable materials to ignite and metal to warp from heat,Un antico drago di fuoco la cui sola presenza provoca l'accensione di materiali infiammabili e la deformazione del metallo a causa del calore
333,A massive ice dragon whose breath can instantly freeze living creatures solid and shatter them with a touch,Un enorme drago di ghiaccio il cui respiro può congelare all'istante le creature viventi e frantumarle con un tocco
334,A master archer infused with nature magic who can control plant life and fire arrows that split into multiple projectiles,Un maestro arciere infuso di magia della natura che può controllare la vita delle piante e scoccare frecce che si dividono in più proiettili
335,A small earth elemental that can camouflage itself among rocks and surprise unwary travelers,Un piccolo elementale della terra che può mimetizzarsi tra le rocce e sorprendere i viaggiatori incauti
336,A mischievous fire sprite that enjoys startling travelers with small flame bursts,Uno spirito del fuoco dispettoso che si diverte a sorprendere i viaggiatori con piccole esplosioni di fiamme
337,A slow-moving ooze that weakens armor and metal with its acidic body,Una melma che si muove lentamente e che indebolisce armature e metallo con il suo corpo acido
338,"A skeletal guardian animated by minor necromantic magic, tasked with protecting ancient burial sites","Un guardiano scheletrico animato da una magia necromantica minore, incaricato di proteggere antichi luoghi di sepoltura"
339,A stealthy predator that blends with darkness and strikes from behind with surprising speed,Un predatore furtivo che si confonde con l'oscurità e colpisce alle spalle con una velocità sorprendente.
340,A poisonous snake with unusual patterns that hypnotize prey before striking,Un serpente velenoso con motivi insoliti che ipnotizza la preda prima di colpire
341,"A young holy warrior still learning to channel divine magic, but devoted to vanquishing evil","Un giovane guerriero sacro che sta ancora imparando a canalizzare la magia divina, ma è devoto a sconfiggere il male."
342,A novice ice mage who can create small ice shards and cool the surrounding air,Un mago del ghiaccio alle prime armi che può creare piccoli frammenti di ghiaccio e raffreddare l'aria circostante
343,A playful water elemental that creates small whirlpools and manipulates currents,Un elemento acquatico giocoso che crea piccoli vortici e manipola le correnti
344,"A weak spirit bound to the mortal plane, unable to fully manifest but capable of draining life force","Uno spirito debole legato al piano mortale, incapace di manifestarsi completamente ma capace di drenare la forza vitale"
345,A beginning magic user specialized in creating minor illusions to confuse opponents,Un mago principiante specializzato nella creazione di piccole illusioni per confondere gli avversari
346,A magically animated stone construct that follows simple commands to protect an area,Una costruzione in pietra animata magicamente che segue semplici comandi per proteggere un'area
347,A shadowy entity that feeds on fear and can cause momentary panic in its victims,Un'entità oscura che si nutre di paura e può causare panico momentaneo nelle sue vittime
348,"A small fire elemental that dances erratically, occasionally shooting small embers at threats","Un piccolo elementale del fuoco che danza in modo irregolare, sparando occasionalmente piccole braci alle minacce"
349,A heavily armored warrior who roams the land seeking to prove their combat prowess,Un guerriero pesantemente corazzato che vaga per la terra cercando di dimostrare la propria abilità nel combattimento
350,A minor air elemental that can create gusts of wind and small whirlwinds,Un elementale dell'aria minore che può creare raffiche di vento e piccoli mulinelli
351,A young aquatic humanoid learning to use enchanting songs to influence the minds of others,Un giovane umanoide acquatico che impara a usare canzoni incantevoli per influenzare le menti degli altri
352,A novice practitioner of blood magic who can inflict minor wounds at a distance,Un novizio praticante di magia del sangue che può infliggere ferite minori a distanza
353,A large spider that spins sticky webs to trap prey and can deliver mildly paralytic bites,Un grande ragno che tesse ragnatele appiccicose per intrappolare le prede e può infliggere morsi leggermente paralizzanti.
354,A stealthy operative who uses throwing knives coated with mild sleep-inducing toxins,Un agente furtivo che usa coltelli da lancio ricoperti di tossine soporifere.
355,"A colossal dragon-like beast that lives in volcanic chambers, its body constantly oozing molten rock that instantly incinerates anything it touches","Una colossale bestia simile a un drago che vive in camere vulcaniche, il cui corpo trasuda costantemente roccia fusa che incenerisce all'istante tutto ciò che tocca"
356,"A terrifying entity born from collective fears, able to manifest nightmares into reality and trap victims in endless cycles of their deepest terrors","Un'entità terrificante nata da paure collettive, capace di trasformare gli incubi in realtà e intrappolare le vittime in cicli infiniti dei loro terrori più profondi."
357,"A horrific reaper whose scythe severs the connection between body and soul, collecting spirits to power its forbidden magic","Un orribile mietitore la cui falce recide la connessione tra corpo e anima, raccogliendo spiriti per alimentare la sua magia proibita"
358,"An ancient stone titan that has slumbered beneath mountains for millennia, now awakened and enraged, able to cause devastating earthquakes with each step","Un antico titano di pietra che ha dormito sotto le montagne per millenni, ora risvegliato e infuriato, in grado di causare terremoti devastanti ad ogni passo"
359,"A monstrous vampire lord who has transcended death itself, capable of draining entire villages in a single night and controlling blood like a living weapon","Un mostruoso signore dei vampiri che ha trasceso la morte stessa, capace di prosciugare interi villaggi in una sola notte e di controllare il sangue come un'arma vivente"
360,"An enormous battle construct forged by ancient smiths using forbidden metallurgy and the souls of a thousand warriors, wielding weapons larger than most buildings","Un'enorme costruzione da battaglia forgiata da antichi fabbri utilizzando la metallurgia proibita e le anime di mille guerrieri, che brandiscono armi più grandi della maggior parte degli edifici"
361,"A towering golem crafted from volcanic glass that absorbs magical energy, growing stronger with each spell cast in its vicinity","Un imponente golem realizzato in vetro vulcanico che assorbe l'energia magica, diventando più forte con ogni incantesimo lanciato nelle sue vicinanze"
362,A massive amorphous horror from the ocean depths that can dissolve almost any material on contact and absorb the properties of what it consumes,Un enorme orrore amorfo proveniente dalle profondità dell'oceano che può dissolvere quasi ogni materiale al contatto e assorbire le proprietà di ciò che consuma
