id,name,note,category,drop1_id,drop1_name,drop1_probability,drop2_id,drop2_name,drop2_probability
185,"Quantum Fluctuation :EP","LV: 696 | An unstable entity that exists simultaneously in multiple states. Randomly shifts between physical and magical forms every third turn. In physical form, immune to magic; in magical form, immune to physical attacks. Creates temporal duplicates that share a health pool with the main entity. Players must time attacks to match its current vulnerability phase.<Char:$VastGoristro>
<Biome: Astral Plane, Eldritch Dimension, Secret Laboratory>
<Speed: 3>
<Movement: Random>
<It: Un'entità instabile che esiste simultaneamente in più stati. Passa casualmente dalla forma fisica a quella magica ogni tre turni. In forma fisica, immune alla magia; in forma magica, immune agli attacchi fisici. Crea duplicati temporali che condividono una riserva di salute con l'entità principale. I giocatori devono sincronizzare gli attacchi in modo che corrispondano alla sua attuale fase di vulnerabilità.>",tech,0585,"Plastic Polymer",1/4,,"",
186,"Maggot","LV: 3 |  A bloated grub crawling in carrion, it devours rot and breeds in the stench of decay.
LV. 1 Crawling maggot<Char:$ForagingMaggot>
<Archetype: Insectoid>
<Biome: Plains>
<Speed: 3>
<Movement: Random>
<It: Una larva gonfia che striscia tra le carogne, divora il marciume e si riproduce nel tanfo della decomposizione.
LV. 1 Verme strisciante>",biological,0574,"Meat",1/4,0573,"Bone",1/4
187,"Plaguebro Rattus","LV: 39 | The bloated king of the sewer rats, Plaguelord Rattus commands disease and vermin. Resistant to ice but weak to poison.<Char:$ShiftyWeasel>
<Archetype: Beast>
<Biome: Forest, Glacial Wastes, Grasslands, Plains, Sewers, Swamp, Tundra>
<Speed: 4>
<Movement: Approach>
<It: Il re gonfio dei topi di fogna, il Signore della Peste Rattus, domina malattie e parassiti. Resistente al ghiaccio ma debole al veleno.>",biological,0571,"Leather",1/3,0573,"Bone",1/5
188,"null","LV: 6
<Char:$ShiftyWeasel>
<Speed: 3>
<Movement: Random>",biological,0574,"Meat",1/4,0571,"Leather",1/5
189,"null","LV: 6
<Char:$ShiftyWeasel>
<Speed: 3>
<Movement: Random>",biological,0573,"Bone",1/3,0574,"Meat",1/3
190,"null","LV: 6
<Char:$ShiftyWeasel>
<Speed: 3>
<Movement: Random>",biological,0574,"Meat",1/4,0571,"Leather",1/3
191,"null","LV: 6
<Char:$ShiftyWeasel>
<Speed: 3>
<Movement: Random>",biological,0574,"Meat",1/4,,"",
192,"null","LV: 6
<Char:$ShiftyWeasel>
<Speed: 3>
<Movement: Random>",biological,0573,"Bone",1/3,,"",
193,"null","LV: 6
<Char:$ShiftyWeasel>
<Speed: 3>
<Movement: Random>",biological,0571,"Leather",1/3,,"",
194,"null","LV: 6
<Char:$ShiftyWeasel>
<Speed: 3>
<Movement: Random>",biological,0574,"Meat",1/2,,"",
195,"null","LV: 6
<Char:$ShiftyWeasel>
<Speed: 3>
<Movement: Random>",biological,0573,"Bone",1/3,,"",
196,"null","LV: 6
<Char:$ShiftyWeasel>
<Speed: 3>
<Movement: Random>",biological,0573,"Bone",1/5,,"",
197,"null","LV: 6
<Char:$ShiftyWeasel>
<Speed: 3>
<Movement: Random>",biological,0571,"Leather",1/4,,"",
198,"null","LV: 6
<Char:$ShiftyWeasel>
<Speed: 3>
<Movement: Random>",biological,0573,"Bone",1/5,,"",
199,"null","LV: 6
<Char:$ShiftyWeasel>
<Speed: 3>
<Movement: Random>",biological,0574,"Meat",1/2,,"",
200,"null","LV: 6
<Char:$ShiftyWeasel>
<Speed: 3>
<Movement: Random>",biological,0571,"Leather",1/4,0573,"Bone",1/5
201,"null","LV: 6
<Char:$ShiftyWeasel>
<Speed: 3>
<Movement: Random>",biological,0571,"Leather",1/4,,"",
202,"Dread Knight","LV: 68 | A warrior clad in cursed armor that feeds on fear and drains courage<Char:$ShiftyWeasel>
<Archetype: Humanoid>
<Biome: Cursed Lands, Secret Laboratory, Urban>
<Speed: 3>
<Movement: Approach>
<It: Un guerriero vestito con un'armatura maledetta che si nutre di paura e prosciuga il coraggio>",biological,0571,"Leather",1/3,0573,"Bone",1/4
203,"Basilisk","LV: 71 | A massive reptile with hypnotic eyes and a powerful tail strike<Char:$ShiftyWeasel>
<Archetype: Reptilian>
<Biome: Secret Laboratory>
<Speed: 4>
<Movement: Approach>
<It: Un enorme rettile con occhi ipnotici e un potente colpo di coda>",biological,0571,"Leather",1/5,0574,"Meat",1/3
204,"Nightmare Mage","LV: 62 | A sorcerer who specializes in sleep magic and manipulating dreams<Char:$ShiftyWeasel>
<Archetype: Humanoid>
<Biome: Cultist Lair, Dreamscape>
<Speed: 3>
<Movement: Approach>
<It: Uno stregone specializzato nella magia del sonno e nella manipolazione dei sogni>",biological,0573,"Bone",1/3,0574,"Meat",1/3
205,"Alpha Warg","LV: 62 | Leader of a wolf pack that can summon reinforcements and strike fear with its howl<Char:$ShiftyWeasel>
<Archetype: Beast>
<Biome: Plains>
<Speed: 4>
<Movement: Approach>
<It: Capo di un branco di lupi che può evocare rinforzi e incutere timore con il suo ululato>",biological,0571,"Leather",1/4,,"",
206,"Kraken Spawn","LV: 84 | The offspring of an ancient sea monster, with powerful tentacles and water control<Char:$ShiftyWeasel>
<Archetype: Octopus>
<Biome: Ancient Crypt, Coastal, Lake>
<Speed: 3>
<Movement: Random>
<It: La prole di un antico mostro marino, con tentacoli potenti e controllo dell'acqua>",biological,0573,"Bone",1/5,,"",
207,"Permafrost Dragon","LV: 96 | A dragon adapted to extreme cold, capable of freezing entire areas with its breath<Char:$ShiftyWeasel>
<Archetype: Dragon>
<Biome: Glacial Wastes, Highlands, Tundra>
<Speed: 5>
<Movement: Approach>
<It: Un drago adattato al freddo estremo, capace di congelare intere aree con il suo respiro>",dragon,0577,"Oil Flask",1/4,0578,"Acidic Solution",1/5
208,"War Hyppotaur","LV: 84 | A battle-scarred minotaur equipped with heavy armor and a massive battle axe<Char:$BestialMinotaur>
<Archetype: Minotaur>
<Biome: Caves>
<Speed: 1>
<Movement: Approach>
<It: Un minotauro segnato dalla battaglia, dotato di un'armatura pesante e di un'enorme ascia da battaglia>",biological,0573,"Bone",1/4,,"",
209,"Harpy Banshee","LV: 52 | A winged humanoid with a sonic scream that can confuse and disorient enemies<Char:$ClawingHarpy>
<Archetype: Ghost>
<Biome: Haunted Moor, Spirit Realm>
<Speed: 5>
<Movement: Approach>
<It: Un umanoide alato con un urlo sonico che può confondere e disorientare i nemici>",spirit,0579,"Arcane Essence",1/3,,"",
210,"Platinum Mimic","LV: 63 | A rare treasure chest mimic with valuable contents but extremely dangerous teeth<Char:$HungryMimic>
<Archetype: CrystalEntity>
<Biome: Abandoned Mines, Ancient Crypt, Caves, Crystal Caves>
<Speed: 3>
<Movement: Random>
<It: Un raro scrigno del tesoro che imita un contenuto prezioso ma con denti estremamente pericolosi>",crystalline,0568,"Crystal",1/3,,"",
211,"Mountain Titan","LV: 103 | A massive humanoid of living stone that can cause earthquakes with its footsteps<Char:$EvilTitan>
<Archetype: Humanoid>
<Biome: Highlands, Mountains, Secret Laboratory>
<Speed: 3>
<Movement: Approach>
<It: Un enorme umanoide di pietra vivente che può causare terremoti con i suoi passi>",biological,0571,"Leather",1/5,0573,"Bone",1/3
212,"Blood Countess","LV: 65 | An elegant vampiress who drains life force and can dominate weak-willed victims<Char:$BloodthirstyCount>
<Archetype: Undead>
<Biome: Necropolis, Secret Laboratory>
<Speed: 2>
<Movement: Approach>
<It: Un'elegante vampira che prosciuga la forza vitale e può dominare le vittime deboli di volontà>",biological,0571,"Leather",1/5,,"",
213,"War Idol","LV: 98 | An ancient statue brought to life by the spirits of fallen warriors, thirsting for battle<Char:$StoneTroll>
<Archetype: Golem>
<Biome: Abandoned Mines, Ancient Crypt, Caves, Highlands, Mountains, Spirit Realm>
<Speed: 2>
<Movement: Approach>
<It: Un'antica statua riportata in vita dagli spiriti dei guerrieri caduti, assetati di battaglia>",spirit,0579,"Arcane Essence",1/3,,"",
214,"Mech Guardian","LV: 90 | A heavily armed mechanical soldier with advanced weaponry and auto-repair systems<Char:$SoldierAutomaton>
<Archetype: Robot>
<Biome: Ruins, Secret Laboratory, Sky Isles>
<Speed: 3>
<Movement: Approach>
<It: Un soldato meccanico pesantemente armato con armi avanzate e sistemi di riparazione automatica>",mechanical,0582,"Circuit Board",1/6,,"",
215,"Mind Flayer","LV: 76 | A tentacled humanoid that feeds on thoughts and can drain life force from a distance<Char:$OcularWatcher>
<Archetype: Humanoid>
<Biome: Secret Laboratory>
<Speed: 3>
<Movement: Approach>
<It: Un umanoide tentacolare che si nutre di pensieri e può drenare la forza vitale da lontano>",biological,0571,"Leather",1/4,,"",
216,"Storm Elemental","LV: 45 | A powerful air spirit that can transform into a miniature tornado<Char:$AirElemental>
<Archetype: Elemental>
<Biome: Highlands, Secret Laboratory, Sky Isles, Spirit Realm>
<Speed: 4>
<Movement: Approach>
<It: Un potente spirito dell'aria che può trasformarsi in un tornado in miniatura>",spirit,0579,"Arcane Essence",1/3,,"",
217,"Jungle Constrictor","LV: 63 | A massive snake with potent venom and crushing coils<Char:$EmeraldViper>
<Archetype: Serpent>
<Biome: Swamp>
<Speed: 4>
<Movement: Approach>
<It: Un serpente enorme con veleno potente e spire schiaccianti>",biological,0573,"Bone",1/3,,"",
218,"Coral Enchantress","LV: 60 | A beautiful sea creature that lures victims with hypnotic songs and blinding lights<Char:$MerfolkAquamancer>
<Archetype: AquaticFish>
<Biome: Deep Sea>
<Speed: 3>
<Movement: Random>
<It: Una bellissima creatura marina che attira le vittime con canti ipnotici e luci accecanti>",biological,0574,"Meat",1/4,,"",
219,"Infernal Warmonger","LV: 94 | A powerful demon wearing molten armor and wielding flames as weapons<Char:$RedDevil>
<Archetype: Demon>
<Biome: Cursed Lands, Volcano>
<Speed: 4>
<Movement: Approach>
<It: Un potente demone che indossa un'armatura fusa e brandisce fiamme come armi>",biological,0571,"Leather",1/5,0573,"Bone",1/4
220,"Abyssal Hydromancer","LV: 54 | A water mage that can manipulate ocean currents and create high-pressure water jets<Char:$WaterElemental>
<Archetype: Humanoid>
<Biome: Deep Sea, Lake>
<Speed: 3>
<Movement: Approach>
<It: Un mago dell'acqua in grado di manipolare le correnti oceaniche e creare getti d'acqua ad alta pressione>",biological,0573,"Bone",1/3,,"",
221,"Mystic Panther","LV: 61 | A large feline with exceptional stealth abilities and berserker rage when cornered<Char:$SlyFox>
<Archetype: Beast>
<Biome: Forest, Sacred Grove>
<Speed: 4>
<Movement: Approach>
<It: Un grande felino con eccezionali capacità di furtività e rabbia berserker quando è alle strette>",biological,0573,"Bone",1/4,0571,"Leather",1/5
222,"Siege Automation","LV: 98 | A massive war machine with an energy shield and powerful beam weapons<Char:$IronGolem>
<Archetype: Robot>
<Biome: Abandoned Mines, Caves, Highlands, Mountains, Secret Laboratory>
<Speed: 3>
<Movement: Approach>
<It: Una massiccia macchina da guerra con uno scudo energetico e potenti armi a raggi>",mechanical,0584,"Battery Cell",1/5,,"",
223,"Reality Warper","LV: 66 | A mage who can bend perception and create illusions that confuse and disorient<Char:$NovicePyromancer>
<Archetype: Voidspawn>
<Biome: Eldritch Dimension, Glacial Wastes, Tundra, Underdark>
<Speed: 3>
<Movement: Random>
<It: Un mago che può piegare la percezione e creare illusioni che confondono e disorientano>",biological,0574,"Meat",1/2,0573,"Bone",1/4
224,"Abyssal Serpent","LV: 48 | A deep sea creature with venomous fangs and hypnotic patterns along its scales<Char:$AquaDrake>
<Archetype: Serpent>
<Biome: Plains>
<Speed: 4>
<Movement: Approach>
<It: Una creatura delle profondità marine con zanne velenose e motivi ipnotici lungo le sue squame>",biological,0571,"Leather",1/3,0573,"Bone",1/3
225,"Moss Viper","LV: 41 | A forest predator that can camouflage itself among vegetation and strike with deadly precision<Char:$EmeraldViper>
<Archetype: Plant>
<Biome: Forest, Swamp>
<Speed: 3>
<Movement: Random>
<It: Un predatore della foresta che può mimetizzarsi tra la vegetazione e colpire con precisione mortale>",plant,0570,"Wood",1/5,,"",
226,"Living Armor","LV: 59 | A suit of enchanted armor that moves on its own, using sharp claws to attack intruders<Char:$BoneGolem>
<Archetype: Golem>
<Biome: Abandoned Mines, Caves, Highlands, Mountains>
<Speed: 2>
<Movement: Approach>
<It: Un'armatura incantata che si muove da sola, usando artigli affilati per attaccare gli intrusi>",golem,0566,"Titanium ingot",1/8,,"",
227,"Brine Wisp","LV: 42 | A water elemental infused with salt and oceanic minerals, capable of high-pressure water jets<Char:$WaterElemental>
<Archetype: Elemental>
<Biome: Lake, Spirit Realm>
<Speed: 4>
<Movement: Approach>
<It: Un elemento acquatico infuso con sale e minerali oceanici, capace di getti d'acqua ad alta pressione>",spirit,0579,"Arcane Essence",1/3,,"",
228,"Ember Sprite","LV: 37 | A mischievous fire elemental that darts about quickly, setting surroundings ablaze<Char:$FireElemental>
<Archetype: Elemental>
<Biome: Plains>
<Speed: 4>
<Movement: Approach>
<It: Un elementale del fuoco dispettoso che si muove rapidamente, incendiando l'ambiente circostante>",elemental,0580,"Ethereal Shard",1/5,,"",
229,"Terra Golem","LV: 63 | A creature of living stone and soil that can reshape its body and create tremors<Char:$EarthElemental>
<Archetype: Golem>
<Biome: Abandoned Mines, Caves, Highlands, Mountains>
<Speed: 2>
<Movement: Approach>
<It: Una creatura di pietra e terra viventi che può rimodellare il suo corpo e creare tremori>",golem,0566,"Titanium ingot",1/8,0565,"Steel ingot",1/5
230,"Zephyr Djinn","LV: 34 | A wind elemental that can turn nearly invisible and attack with razor-sharp air currents<Char:$PowerfulDjinn>
<Archetype: Elemental>
<Biome: Secret Laboratory, Sky Isles>
<Speed: 4>
<Movement: Approach>
<It: Un elementale del vento che può diventare quasi invisibile e attaccare con correnti d'aria taglienti come rasoi>",biological,0574,"Meat",1/2,,"",
231,"Siren Enchantress","LV: 44 | A beautiful but deadly creature whose mesmerizing songs lure victims to their doom<Char:$MerfolkMystic>
<Archetype: AquaticFish>
<Biome: Deep Sea, Crystal Caves, Sacred Grove>
<Speed: 3>
<Movement: Random>
<It: Una creatura bellissima ma mortale le cui canzoni ipnotizzanti attirano le vittime verso la loro rovina>",crystalline,0568,"Crystal",1/2,,"",
232,"Crimson Analizer","LV: 16 | A large, vampiric samurai that drains life force from its victims to heal itself<Char:$BloodDrinker>
<Archetype: Demon>
<Biome: Cursed Lands, Secret Laboratory>
<Speed: 4>
<Movement: Approach>
<It: Un grande samurai vampirico che succhia la forza vitale dalle sue vittime per curarsi>",biological,0573,"Bone",1/5,0571,"Leather",1/3
233,"Sorrow Specter","LV: 43 | A ghostly entity that feeds on grief and can paralyze victims with overwhelming sadness<Char:$PoisonGhost>
<Archetype: Ghost>
<Biome: Haunted Moor, Spirit Realm>
<Speed: 5>
<Movement: Approach>
<It: Un'entità spettrale che si nutre di dolore e può paralizzare le vittime con una tristezza travolgente>",spirit,0579,"Arcane Essence",1/2,,"",
234,"Dream Weaver","LV: 48 | A mystic that can trap enemies in recursive nightmares, manipulating their perceptions<Char:$BeginnerEnchanter>
<Archetype: Humanoid>
<Biome: Dreamscape, Sacred Grove>
<Speed: 3>
<Movement: Approach>
<It: Un mistico che può intrappolare i nemici in incubi ricorsivi, manipolando le loro percezioni>",biological,0574,"Meat",1/2,,"",
235,"Desert Commander","LV: 49 | A skilled tactical leader who can boost allies' morale while misleading enemies<Char:$BraveKnight>
<Archetype: Humanoid>
<Biome: Desert, Urban>
<Speed: 3>
<Movement: Approach>
<It: Un abile leader tattico che può aumentare il morale degli alleati mentre inganna i nemici>",biological,0571,"Leather",1/4,,"",
236,"Electro Arachnid","LV: 40 | A giant spider that has evolved the ability to generate electricity in its silk glands<Char:$AshSpider>
<Archetype: Insectoid>
<Biome: Caves, Forest, Grasslands, Plains, Sewers>
<Speed: 3>
<Movement: Random>
<It: Un ragno gigante che ha sviluppato la capacità di generare elettricità nelle sue ghiandole della seta>",biological,0573,"Bone",1/3,,"",
237,"Toxic Ooze","LV: 43 | A gelatinous creature composed of acidic slime that can paralyze on contact<Char:$AcidOoze>
<Archetype: Slime>
<Biome: Sewers, Swamp>
<Speed: 2>
<Movement: Random>
<It: Una creatura gelatinosa composta da melma acida che può paralizzare al contatto>",slime,0573,"Bone",1/6,,"",
238,"Rogue Sentinel","LV: 52 | A malfunctioning security robot with advanced weapons systems and toxic gas deployment<Char:$SoldierAutomaton>
<Archetype: Robot>
<Biome: Secret Laboratory>
<Speed: 3>
<Movement: Approach>
<It: Un robot di sicurezza malfunzionante con sistemi d'arma avanzati e dispiegamento di gas tossici>",mechanical,0581,"Quantum Core",1/10,,"",
239,"Frost Enchantress","LV: 47 | A powerful sorceress who specializes in ice magic and mind control<Char:$FrostMagus>
<Archetype: Humanoid>
<Biome: Glacial Wastes, Tundra>
<Speed: 3>
<Movement: Approach>
<It: Una potente strega specializzata nella magia del ghiaccio e nel controllo mentale>",biological,0573,"Bone",1/5,,"",
240,"Venomous Stalker","LV: 47 | A giant scorpion with enhanced venom that causes multiple status effects<Char:$SkeweringStalker>
<Archetype: Serpent>
<Biome: Caves, Desert>
<Speed: 4>
<Movement: Approach>
<It: Uno scorpione gigante con veleno potenziato che provoca molteplici effetti di stato>",biological,0574,"Meat",1/4,,"",
241,"Abyssal Tentacler","LV: 44 | A deep-sea creature with multiple tentacles that can blind and entangle prey<Char:$LeeringLevithan>
<Archetype: Octopus>
<Biome: Plains>
<Speed: 3>
<Movement: Random>
<It: Una creatura degli abissi marini dotata di molteplici tentacoli che possono accecare e intrappolare la preda>",biological,0574,"Meat",1/4,,"",
242,"Young Magma Drake","LV: 64 | A juvenile fire dragon whose scales are still forming, leaving some vulnerable spots<Char:$YoungRedDragon>
<Archetype: Dragon>
<Biome: Highlands, Volcano>
<Speed: 5>
<Movement: Approach>
<It: Un drago di fuoco giovane le cui squame si stanno ancora formando, lasciando alcuni punti vulnerabili>",dragon,0577,"Oil Flask",1/5,0578,"Acidic Solution",1/5
243,"Juvenile Ice Wyrm","LV: 63 | A young ice dragon that can create blizzards and freeze enemies solid<Char:$FrostMagus>
<Archetype: Dragon>
<Biome: Glacial Wastes, Highlands, Tundra>
<Speed: 5>
<Movement: Approach>
<It: Un giovane drago di ghiaccio che può creare bufere di neve e congelare i nemici>",dragon,0577,"Oil Flask",1/5,,"",
244,"Shadow Blade","LV: 47 | An elite assassin who strikes from darkness and can steal valuable items<Char:$DarkelfThief>
<Archetype: Ghost>
<Biome: Spirit Realm, Underdark>
<Speed: 5>
<Movement: Approach>
<It: Un assassino d'élite che colpisce dall'oscurità e può rubare oggetti di valore>",spirit,0579,"Arcane Essence",1/3,,"",
245,"Emerald Stalker","LV: 53 | A cunning predator that blends perfectly with jungle foliage, striking with venomous fangs when prey least expects it<Char:$EmeraldViper>
<Archetype: CrystalEntity>
<Biome: Crystal Caves, Swamp>
<Speed: 3>
<Movement: Random>
<It: Un predatore astuto che si mimetizza perfettamente con il fogliame della giungla, colpendo con zanne velenose quando la preda meno se lo aspetta>",crystalline,0569,"Glass",1/4,0568,"Crystal",1/3
246,"Breeze Phantom","LV: 49 | A capricious air spirit that can turn nearly invisible and create disorienting whirlwinds around its targets<Char:$AirElemental>
<Archetype: Ghost>
<Biome: Secret Laboratory, Sky Isles, Spirit Realm>
<Speed: 5>
<Movement: Approach>
<It: Uno spirito dell'aria capriccioso che può diventare quasi invisibile e creare vortici disorientanti attorno ai suoi bersagli>",spirit,0579,"Arcane Essence",1/3,,"",
247,"Caustic Slime","LV: 61 | A highly acidic ooze that can dissolve armor on contact and split into smaller entities when attacked<Char:$AcidOoze>
<Archetype: Slime>
<Biome: Sewers, Swamp>
<Speed: 2>
<Movement: Random>
<It: Una melma altamente acida che può dissolvere l'armatura al contatto e dividersi in entità più piccole quando viene attaccata>",slime,0574,"Meat",1/5,,"",
248,"Crimson Harvester","LV: 52 | A blood-drinking warrior who gains strength and speed with each successful strike, becoming more dangerous as the battle progresses<Char:$BloodDrinker>
<Archetype: Demon>
<Biome: Caves, Cursed Lands, Mountains, Secret Laboratory>
<Speed: 4>
<Movement: Approach>
<It: Un guerriero bevitore di sangue che acquisisce forza e velocità ad ogni colpo andato a segno, diventando più pericoloso con l'avanzare della battaglia.>",biological,0571,"Leather",1/5,,"",
249,"Guardian Vindicator","LV: 57 | A holy warrior sworn to protect sacred lands, wielding divine magic that purges darkness and reinforces allies<Char:$BraveKnight>
<Archetype: Humanoid>
<Biome: Ruins, Underdark, Urban>
<Speed: 3>
<Movement: Approach>
<It: Un guerriero sacro che ha giurato di proteggere le terre sacre, brandendo la magia divina che purifica l'oscurità e rafforza gli alleati>",biological,0574,"Meat",1/4,0571,"Leather",1/4
250,"Frost Weaver","LV: 52 | A sorcerer who manipulates cold energies to slow enemies and create ice barriers, gradually freezing the battlefield<Char:$FrostMagus>
<Archetype: Insectoid>
<Biome: Caves, Cultist Lair, Glacial Wastes, Tundra>
<Speed: 3>
<Movement: Random>
<It: Uno stregone che manipola le energie fredde per rallentare i nemici e creare barriere di ghiaccio, congelando gradualmente il campo di battaglia>",biological,0573,"Bone",1/4,,"",
251,"Fossil Sentinel","LV: 66 | An ancient construct of animated bones and stone that guards forgotten tombs, immune to fear and mind effects<Char:$BoneGolem>
<Archetype: ConstructedUndead>
<Biome: Abandoned Mines, Ancient Crypt, Caves, Highlands, Mountains, Necropolis>
<Speed: 3>
<Movement: Random>
<It: Un antico costrutto di ossa e pietre animate che custodisce tombe dimenticate, immune alla paura e agli effetti mentali>",mechanical,0581,"Quantum Core",1/8,0582,"Circuit Board",1/5
252,"Soul Siphon","LV: 53 | A malevolent spirit that drains life essence through touch, causing victims to experience their worst memories<Char:$PoisonGhost>
<Archetype: Ghost>
<Biome: Secret Laboratory, Spirit Realm>
<Speed: 5>
<Movement: Approach>
<It: Uno spirito maligno che prosciuga l'essenza vitale attraverso il tatto, facendo sì che le vittime rivivano i loro peggiori ricordi.>",spirit,0579,"Arcane Essence",1/3,,"",
253,"Cinder Weaver","LV: 54 | A spider mutated by volcanic energies, spinning webs of burning silk that ignite on contact with oxygen<Char:$AshSpider>
<Archetype: Elemental>
<Biome: Caves, Volcano>
<Speed: 4>
<Movement: Approach>
<It: Un ragno mutato dalle energie vulcaniche, che tesse ragnatele di seta ardente che si infiammano al contatto con l'ossigeno>",biological,0571,"Leather",1/4,0574,"Meat",1/4
254,"Nightveil Assassin","LV: 55 | A master of shadow magic who can teleport short distances and coat weapons in paralyzing venom<Char:$DarkelfThief>
<Archetype: Humanoid>
<Biome: Underdark>
<Speed: 3>
<Movement: Approach>
<It: Un maestro della magia dell'ombra che può teletrasportarsi per brevi distanze e ricoprire le armi di veleno paralizzante>",biological,0573,"Bone",1/4,,"",
255,"Crumbling Colossus","LV: 67 | A massive earth elemental whose body constantly reforms, hurling boulders and causing localized earthquakes<Char:$EarthElemental>
<Archetype: Golem>
<Biome: Abandoned Mines, Caves, Highlands, Mountains>
<Speed: 2>
<Movement: Approach>
<It: Un enorme elementale della terra il cui corpo si riforma costantemente, lanciando massi e causando terremoti localizzati>",golem,0566,"Titanium ingot",1/5,,"",
256,"Tide Wraith","LV: 51 |A sentient collection of cursed ocean water that can drown victims from within after infiltrating their bodies<Char:$WaterElemental>
<Archetype: Ghost>
<Biome: Cursed Lands, Lake, Forest, Grasslands, Haunted Moor, Plains, Secret Laboratory, Sewers, Spirit Realm>
<Speed: 5>
<Movement: Approach>
<It: Una raccolta senziente di acqua oceanica maledetta che può annegare le vittime dall'interno dopo essersi infiltrata nei loro corpi>",spirit,0579,"Arcane Essence",1/4,,"",
257,"Inferno Sprite","LV: 48 | A volatile fire spirit that explodes into multiple flame jets when threatened, setting all nearby combustibles ablaze<Char:$FireElemental>
<Archetype: Elemental>
<Biome: Spirit Realm, Volcano>
<Speed: 4>
<Movement: Approach>
<It: Uno spirito di fuoco volatile che esplode in molteplici getti di fiamma quando minacciato, incendiando tutti i combustibili nelle vicinanze.>",spirit,0579,"Arcane Essence",1/2,,"",
258,"Animated Arsenal","LV: 59 | A possessed suit of armor that can detach its weapons to attack from multiple angles simultaneously<Char:$SoldierAutomaton>
<Archetype: Golem>
<Biome: Abandoned Mines, Caves, Highlands, Mountains>
<Speed: 2>
<Movement: Approach>
<It: Un'armatura posseduta che può staccare le sue armi per attaccare da più angolazioni simultaneamente>",golem,0566,"Titanium ingot",1/5,,"",
259,"Seafoam Enchantress","LV: 51 | A mesmerizing aquatic sorceress who commands currents and marine life while clouding the minds of her foes<Char:$MerfolkMystic>
<Archetype: AquaticFish>
<Biome: Deep Sea, Sacred Grove>
<Speed: 3>
<Movement: Random>
<It: Un'affascinante strega acquatica che controlla le correnti e la vita marina mentre annebbia le menti dei suoi nemici>",biological,0571,"Leather",1/4,,"",
260,"Mind Sculptor","LV: 53 | A psychic prodigy who can reshape perceptions and extract memories, turning allies against each other<Char:$BeginnerEnchanter>
<Archetype: Humanoid>
<Biome: Secret Laboratory>
<Speed: 3>
<Movement: Approach>
<It: Un prodigio psichico che può rimodellare le percezioni ed estrarre ricordi, mettendo gli alleati l'uno contro l'altro>",biological,0571,"Leather",1/5,0574,"Meat",1/4
261,"Deep Hunter","LV: 54 | A predatory cephalopod that uses its many tentacles to drag victims underwater while injecting paralytic venom<Char:$LeeringLevithan>
<Archetype: AquaticFish>
<Biome: Deep Sea, Lake>
<Speed: 3>
<Movement: Random>
<It: Un cefalopode predatore che usa i suoi numerosi tentacoli per trascinare le vittime sott'acqua mentre inietta veleno paralizzante>",biological,0573,"Bone",1/3,0571,"Leather",1/5
262,"Molten Hatchling","LV: 63 | A newly matured fire dragon whose scales still drip with magma, setting the ground ablaze where it walks<Char:$YoungRedDragon>
<Archetype: Dragon>
<Biome: Highlands, Volcano>
<Speed: 5>
<Movement: Approach>
<It: Un drago di fuoco appena cresciuto le cui scaglie gocciolano ancora di magma, incendiando il terreno dove cammina>",dragon,0577,"Oil Flask",1/4,,"",
263,"Glacier Serpent","LV: 57 | A serpentine ice drake that can burrow through frozen ground and emerge with explosive force<Char:$FrostMagus>
<Archetype: Serpent>
<Biome: Glacial Wastes, Tundra>
<Speed: 4>
<Movement: Approach>
<It: Un drago di ghiaccio serpentino che può scavare nel terreno ghiacciato ed emergere con forza esplosiva>",dragon,0578,"Acidic Solution",1/4,,"",
264,"Toxic Infiltrator","LV: 52 | A venomous arachnid that can inject eggs which hatch inside victims, causing devastating internal damage<Char:$SkeweringStalker>
<Archetype: Slime>
<Biome: Forest, Grasslands, Plains, Sewers, Urban>
<Speed: 2>
<Movement: Random>
<It: Un aracnide velenoso che può iniettare uova che si schiudono all'interno delle vittime, causando danni interni devastanti>",slime,0574,"Meat",1/5,,"",
265,"Shadow Blade","LV: 55 | An elite assassin trained in the forbidden arts, capable of momentarily becoming incorporeal to evade attacks<Char:$DarkelfThief>
<Archetype: Ghost>
<Biome: Secret Laboratory, Spirit Realm, Underdark>
<Speed: 5>
<Movement: Approach>
<It: Un assassino d'élite addestrato nelle arti proibite, capace di diventare momentaneamente incorporeo per eludere gli attacchi>",spirit,0579,"Arcane Essence",1/4,,"",
266,"Animated Gravestalker","LV: 59 | A collection of bones animated by dark magic that absorbs life energy from nearby living creatures<Char:$BonySoldier>
<Archetype: Undead>
<Biome: Necropolis, Underdark>
<Speed: 2>
<Movement: Approach>
<It: Una raccolta di ossa animate dalla magia oscura che assorbe l'energia vitale dalle creature viventi vicine>",biological,0573,"Bone",1/4,,"",
267,"Brimstone Weaver","LV: 53 | A fiery arachnid from volcanic caves that spins inflammable webs to trap prey before immolating them<Char:$AshSpider>
<Archetype: Elemental>
<Biome: Caves, Volcano>
<Speed: 4>
<Movement: Approach>
<It: Un aracnide infuocato proveniente dalle grotte vulcaniche che tesse ragnatele infiammabili per intrappolare le prede prima di immolarle>",biological,0571,"Leather",1/5,0573,"Bone",1/4
