Change;Excluded;Original;en;it
;;%1 offers tactical knowledge to enemies!;%1 offers tactical knowledge to enemies!;%1 offre conoscenze tattiche ai nemici!
;;Deceptive Lullaby;Deceptive Lullaby;Ninna nanna ingannevole
;;"Sings a calming song that increases all
enemies' SAG but puts them to sleep.";"Sings a calming song that increases all
enemies' SAG but puts them to sleep.";"Canta una canzone rilassante che aumenta
il SAG di tutti i nemici, ma li fa addormentare."
;;Berserk Encouragement;Berserk Encouragement;Incoraggiamento Berserk
;;"Dramatically increases the Attack and INT of
an ally but decreases their COS and SAG.";"Dramatically increases the Attack and INT of
an ally but decreases their COS and SAG.";"Aumenta notevolmente l'Attacco e l'INT di
un alleato, ma ne diminuisce il COS e il SAG."
;;%1 activates berserk mode!;%1 activates berserk mode!;%1 attiva la modalità berserk!
;;Precision Focus;Precision Focus;Focus di precisione
;;"Dramatically increases an ally's Accuracy
and PSI but decreases their Attack.";"Dramatically increases an ally's Accuracy
and PSI but decreases their Attack.";"Aumenta notevolmente la Precisione
e il PSI di un alleato, ma ne diminuisce l'Attacco."
;;%1 activates precise mode!;%1 activates precise mode!;%1 focalizza il persaglio!
;;Predator's Bite;Predator's Bite;Morso del predatore
;;"A powerful bite attack
that deals physical damage.";"A powerful bite attack
that deals physical damage.";"Un potente attacco con morso
che infligge danni fisici."
;;%1 unleashes a ferocious bite!;%1 unleashes a ferocious bite!;%1 morde il nemico
;;Razor Claws;Razor Claws;Artigli Rasoio
;;"Sharp claws tear into
the enemy, causing bleeding damage.";"Sharp claws tear into
the enemy, causing bleeding damage.";"Artigli affilati lacerano
il nemico, causando danni da sanguinamento."
;;%1 slashes with razor claws!;%1 slashes with razor claws!;%1 colpisce con artigli affilati!
;;Hind Kick;Hind Kick;Calcio posteriore
;;"Rapid kicks that hit
an enemy multiple times.";"Rapid kicks that hit
an enemy multiple times.";"Calci rapidi che colpiscono
un nemico più volte."
;;%1 delivers powerful kicks!;%1 delivers powerful kicks!;%1 sferra calci potenti!
;;Gore Attack;Gore Attack;Incornata
;;"A crushing attack using
massive horns or antlers.";"A crushing attack using
massive horns or antlers.";"Un attacco devastante con
corna o palchi enormi."
;;%1 gores with mighty horns!;%1 gores with mighty horns!;%1 attacca con corna possenti!
;;Charging Tackle;Charging Tackle;Carica impattante
;;"Charges at full speed
to deliver a powerful impact.";"Charges at full speed
to deliver a powerful impact.";"Carica a tutta velocità
per avere un impatto potente."
;;%1 charges at full speed!;%1 charges at full speed!;%1 carica a piena velocità!
;;Blinding Screen;Blinding Screen;Nuvola accecante
;;"Temporarily blinds enemies by kicking up
dirt or creating a cloud of ink.";"Temporarily blinds enemies by kicking up
dirt or creating a cloud of ink.";"Acceca temporaneamente i nemici sollevando
terra o creando una nuvola di inchiostro."
;;%1 creates a blinding cloud!;%1 creates a blinding cloud!;%1 crea una nuvola accecante!
;;Toxic Venom;Toxic Venom;Veleno tossico
;;"Sprays or secretes a
toxic substance that poisons enemies.";"Sprays or secretes a
toxic substance that poisons enemies.";"Spruzza o secerne una
sostanza tossica che avvelena i nemici."
;;%1 sprays toxic venom!;%1 sprays toxic venom!;%1 spruzza veleno tossico!
;;Sonic Disorientation;Sonic Disorientation;Disorientamento sonoro
;;"Emits a disorienting
sound that confuses enemies.";"Emits a disorienting
sound that confuses enemies.";"Emette un suono disorientante
che confonde i nemici."
;;%1 emits a disorienting sound!;%1 emits a disorienting sound!;%1 emette un suono disorientante!
;;Paralyzing Sting;Paralyzing Sting;Puntura paralizzante
;;"Paralyzes prey with a
stinger or electric shock.";"Paralyzes prey with a
stinger or electric shock.";"Paralizza la preda con un
pungiglione o una scossa elettrica."
;;%1 delivers a paralyzing sting!;%1 delivers a paralyzing sting!;%1 infligge una puntura paralizzante!
;;Life Drain;Life Drain;Assorbi umori
;;"Drains blood or life energy
from a target to restore HP.";"Drains blood or life energy
from a target to restore HP.";"Prosciuga sangue o energia vitale
da un bersaglio per ripristinare i PV."
;;%1 drains life energy!;%1 drains life energy!;%1 drena l'energia vitale!
;;Entangle;Entangle;Intrappola
;;"Entangles the opponent in webbing,
vines, or tentacles, restricting movement.";"Entangles the opponent in webbing,
vines, or tentacles, restricting movement.";"Intrappola l'avversario in ragnatele,
liane o tentacoli, limitandone i movimenti."
;;%1 entangles the target!;%1 entangles the target!;%1 intrappola il bersaglio!
;;Wing Gust;Wing Gust;Raffica d'ala
;;"Rapidly flaps wings to create powerful
gusts of wind that damage enemies.";"Rapidly flaps wings to create powerful
gusts of wind that damage enemies.";"Sbatte rapidamente le ali per creare potenti
raffiche di vento che danneggiano i nemici."
;;%1 creates powerful wind gusts!;%1 creates powerful wind gusts!;%1 crea potenti raffiche di vento!
;;Hypnotic Mesmerize;Hypnotic Mesmerize;Mesmerizzazione ipnotica
;;"Mesmerizes the target with a hypnotic
pattern or sound, putting them to sleep.";"Mesmerizes the target with a hypnotic
pattern or sound, putting them to sleep.";"Ipnotizza il bersaglio con uno schema o un suono
ipnotico, facendolo addormentare."
;;%1 uses hypnotic mesmerization!;%1 uses hypnotic mesmerization!;%1 mesmerizza il nemico!
;;Venomous Strike;Venomous Strike;Colpo velenoso
;;"Strikes with a venomous
barb, causing damage and poison.";"Strikes with a venomous
barb, causing damage and poison.";"Colpisce con una punta
velenosa, causando danni e avvelenamento."
;;%1 strikes with a venomous tail!;%1 strikes with a venomous tail!;%1 colpisce con un pungiglione velenoso!
;;Electric Shock;Electric Shock;Scossa elettrica
;;"Unleashes a powerful electric shock
that may paralyze the target.";"Unleashes a powerful electric shock
that may paralyze the target.";"Scatena una potente scossa elettrica
che può paralizzare il bersaglio."
;;%1 delivers an electric shock!;%1 delivers an electric shock!;%1 scatena una scossa elettrica!
;;Inferno Breath;Inferno Breath;Respiro infernale
;;"Unleash a devastating stream of 
concentrated flame that ignites enemies";"Unleash a devastating stream of 
concentrated flame that ignites enemies";"Scatena un devastante flusso di
fiamme concentrate che incendiano i nemici"
;;Frost Breath;Frost Breath;Alito di gelo
;;"Breathes a freezing blast
that damages and slows enemies.";"Breathes a freezing blast
that damages and slows enemies.";"Soffia un'ondata gelida
che danneggia e rallenta i nemici."
;;%1 breathes frost!;%1 breathes frost!;%1 respira gelo!
;;Tail Smash;Tail Smash;Colpo di coda
;;"Delivers a crushing blow
with a powerful tail.";"Delivers a crushing blow
with a powerful tail.";"Sferra un colpo devastante
con una coda potente."
;;%1 smashes with its tail!;%1 smashes with its tail!;%1 colpisce con la coda!
;;Tentacle Barrage;Tentacle Barrage;Sbarramento tentacolare
;;"Attacks with multiple tentacles,
hitting the target several times.";"Attacks with multiple tentacles,
hitting the target several times.";"Attacca con più tentacoli,
colpendo il bersaglio più volte."
;;%1 attacks with tentacles!;%1 attacks with tentacles!;%1 attacca con i tentacoli!
;;Pressurized Water Jet;Pressurized Water Jet;Getto d'acqua pressurizzato
;;"Shoots a powerful jet
of water at high pressure.";"Shoots a powerful jet
of water at high pressure.";"Spara un potente getto
d'acqua ad alta pressione."
;;%1 fires a water jet!;%1 fires a water jet!;%1 spara un getto d'acqua!
;;Earthquake Stomp;Earthquake Stomp;Pestone terremoto
;;"Causes the ground to
shake, damaging all enemies.";"Causes the ground to
shake, damaging all enemies.";"Fa tremare il terreno,
danneggiando tutti i nemici."
;;%1 creates an earthquake!;%1 creates an earthquake!;%1 pesta il terreno e crea un terremoto!
;;Ambush Pounce;Ambush Pounce;Agguato sinistro
;;"Suddenly pounces on prey
with incredible speed and power.";"Suddenly pounces on prey
with incredible speed and power.";"Si avventa improvvisamente sulla preda
con incredibile velocità e potenza."
;;%1 pounces with lightning speed!;%1 pounces with lightning speed!;%1 si avventa alla velocità della luce!
;;Terrifying Roar;Terrifying Roar;Ruggito terrificante
;;"A devastating roar that
damages and intimidates all enemies.";"A devastating roar that
damages and intimidates all enemies.";"Un ruggito devastante che
danneggia e intimorisce tutti i nemici."
;;%1 lets out a devastating roar!;%1 lets out a devastating roar!;%1 emette un ruggito devastante!
;;Sonic Screech;Sonic Screech;Stridio sonico
;;"Emits a high-frequency screech
that damages and disables enemies.";"Emits a high-frequency screech
that damages and disables enemies.";"Emette uno stridio ad alta frequenza
che danneggia e stordisce i nemici."
;;%1 emits a piercing screech!;%1 emits a piercing screech!;%1 emette uno stridio penetrante!
;;Healing Secretion;Healing Secretion;Secrezione curativa
;;"Secretes a healing substance
that cures status ailments.";"Secretes a healing substance
that cures status ailments.";"Secerne una sostanza curativa
che cura i disturbi di stato."
;;%1 secretes healing enzymes!;%1 secretes healing enzymes!;%1 secerne enzimi curativi!
;;Camouflage;Camouflage;Camuffamento
;;"Changes color or form to
blend with surroundings, increasing PSI.";"Changes color or form to
blend with surroundings, increasing PSI.";"Cambia colore o forma per
mimetizzarsi con l'ambiente circostante, aumentando il PSI."
;;%1 camouflages itself!;%1 camouflages itself!;%1 si mimetizza!
;;Berserk Frenzy;Berserk Frenzy;Frenesia Berserk
;;"A furious frenzy of
attacks when cornered or threatened.";"A furious frenzy of
attacks when cornered or threatened.";"Una furiosa frenesia di
attacchi quando si è alle strette o minacciati."
;;%1 enters a frenzied state!;%1 enters a frenzied state!;%1 entra in uno stato frenetico!
;;Pack Call;Pack Call;Chiamata del branco
;;"Calls nearby allies of the
same species to join the fight.";"Calls nearby allies of the
same species to join the fight.";"Chiama gli alleati vicini della
stessa specie a unirsi alla lotta."
;;%1 calls for reinforcements!;%1 calls for reinforcements!;%1 chiama rinforzi!
;;Apex Predator Strike;Apex Predator Strike;Colpo Apex
;;"The ultimate predator attack that deals
massive damage to a single target.";"The ultimate predator attack that deals
massive damage to a single target.";"L'attacco predatore definitivo che infligge
danni ingenti a un singolo bersaglio."
;;%1 unleashes a deadly strike!;%1 unleashes a deadly strike!;%1 scatena un attacco apex!
;;Throat Bite;Throat Bite;Morso alla gola
;;"A vicious attack that targets
the throat of an enemy.";"A vicious attack that targets
the throat of an enemy.";"Un attacco feroce che prende di mira
la gola di un nemico."
;;%1 attacks the throat!;%1 attacks the throat!;%1 attacca la gola!
;;VoidTendrils;VoidTendrils;Vuoti Viticci
;;"Summons shadowy tendrils from another dimension
that grasp and damage the target.";"Summons shadowy tendrils from another dimension
that grasp and damage the target.";"Evoca tentacoli oscuri da un'altra dimensione
che afferrano e danneggiano il bersaglio."
;;%1 summons void tendrils!;%1 summons void tendrils!;%1 evoca viticci del vuoto!
;;StarfallFragment;StarfallFragment;Frammento Stellare
;;"Manifests a fragment of a
star that explodes with cosmic light.";"Manifests a fragment of a
star that explodes with cosmic light.";"Manifesta un frammento di una
stella che esplode di luce cosmica."
;;%1 creates a star fragment!;%1 creates a star fragment!;%1 crea un frammento di stella!
;;RealityDistortion;RealityDistortion;DistorciRealtà
;;"Creates a prismatic field that
distorts reality, causing unpredictable damage.";"Creates a prismatic field that
distorts reality, causing unpredictable damage.";"Crea un campo prismatico che
distorce la realtà, causando danni imprevedibili."
;;%1 distorts reality!;%1 distorts reality!;%1 distorce la realtà!
;;DevouringRift;DevouringRift;Fenditura Divorante
;;"Opens a small rift that devours
a quarter of the target's life force.";"Opens a small rift that devours
a quarter of the target's life force.";"Apre una piccola fessura che divora
un quarto della forza vitale del bersaglio."
;;%1 opens a devouring rift!;%1 opens a devouring rift!;%1 apre una fenditura divoratrice!
;;SensoryInversion;SensoryInversion;Sens Inversione
;;"Inverts the target's senses,
causing confusion and stat reversal.";"Inverts the target's senses,
causing confusion and stat reversal.";"Inverte i sensi del bersaglio,
causando confusione e inversione delle statistiche."
;;%1 inverts senses!;%1 inverts senses!;%1 inverte i sensi!
;;FractalGeometry;FractalGeometry;Schema Frattale
;;"Creates a perfect geometric pattern
that shatters reality around the target.";"Creates a perfect geometric pattern
that shatters reality around the target.";"Crea un perfetto schema geometrico
che frantuma la realtà attorno al bersaglio."
;;%1 creates a fractal pattern!;%1 creates a fractal pattern!;%1 crea uno schema frattale!
;;TemporalReversion;TemporalReversion;Tempo Regressione
;;"Reverses the flow of time around a
wound, healing it as if it never existed.";"Reverses the flow of time around a
wound, healing it as if it never existed.";"Inverte il flusso del tempo attorno a una
ferita, guarendola come se non fosse mai esistita."
;;%1 reverses time!;%1 reverses time!;%1 inverte il tempo!
;;ThousandEyedGaze;ThousandEyedGaze;Sguardo Dei Mille Occhi
;;"Summons countless eyes from the void
that gaze upon enemies, causing psychic damage.";"Summons countless eyes from the void
that gaze upon enemies, causing psychic damage.";"Evoca innumerevoli occhi dal vuoto
che scrutano i nemici, causando danni psichici."
;;%1 summons watching eyes!;%1 summons watching eyes!;%1 evoca occhi che osservano!
;;Revelations;Revelations;Rivelazioni
;;"Forces the target to witness an
unknowable truth, potentially driving them mad.";"Forces the target to witness an
unknowable truth, potentially driving them mad.";"Costringe il bersaglio a scoprire una
verità sconosciuta, potenzialmente facendolo impazzire."
;;%1 reveals an unknowable truth!;%1 reveals an unknowable truth!;%1 rivela una verità sconosciuta!
;;Quantum Duplication;Quantum Duplication;Duplicazione Quantica
;;"Splits the caster into multiple
quantum versions that exist simultaneously.";"Splits the caster into multiple
quantum versions that exist simultaneously.";"Divide il lanciatore in più
versioni quantistiche che esistono simultaneamente."
;;%1 creates quantum duplicates!;%1 creates quantum duplicates!;%1 crea duplicati quantici!
;;Reality-Warping Melody;Reality-Warping Melody;Melodia deforma-realtà
;;"Creates discordant music that makes
reality itself unstable around enemies.";"Creates discordant music that makes
reality itself unstable around enemies.";"Crea una musica dissonante che rende
instabile la realtà stessa attorno ai nemici."
;;%1 plays discordant notes!;%1 plays discordant notes!;%1 suona note discordanti!
;;Pain Transmutation;Pain Transmutation;Trasmutazione del dolore
;;"Channels pain into power, dealing damage
based on the caster's missing HP.";"Channels pain into power, dealing damage
based on the caster's missing HP.";"Trasforma il dolore in potere, infliggendo danni
in base ai PS mancanti dell'incantatore."
;;%1 channels pain into power!;%1 channels pain into power!;%1 trasforma il dolore in potere!
;;Identity Transference;Identity Transference;Trasferimento di identità
;;"Swaps positions and some aspects
of identity between caster and target.";"Swaps positions and some aspects
of identity between caster and target.";"Scambia le posizioni e alcuni aspetti
dell'identità tra l'incantatore e il bersaglio."
;;%1 performs identity transference!;%1 performs identity transference!;%1 esegue trasferisce la sua identità!
;;Probability Manipulation;Probability Manipulation;Manipolazione della probabilità
;;"Creates a field where probability itself
is manipulated in the caster's favor.";"Creates a field where probability itself
is manipulated in the caster's favor.";"Crea un campo in cui la probabilità stessa
viene manipolata a favore di chi lancia l'incantesimo."
;;%1 manipulates probability!;%1 manipulates probability!;%1 manipola la probabilità!
;;Non-Euclidean Fluid;Non-Euclidean Fluid;Fluido non euclideo
;;"Summons a liquid that flows
against gravity and dissolves reality.";"Summons a liquid that flows
against gravity and dissolves reality.";"Evoca un liquido che scorre
contro la gravità e dissolve la realtà."
;;%1 summons non-euclidean fluid!;%1 summons non-euclidean fluid!;%1 evoca un fluido non euclideo!
;;Unutterable Phonemes;Unutterable Phonemes;Fonemi impronunciabili
;;"Speaks in a language that reality
itself cannot comprehend.";"Speaks in a language that reality
itself cannot comprehend.";"Parla una lingua che la realtà
stessa non può comprendere."
;;%1 speaks the unutterable!;%1 speaks the unutterable!;%1 dice l'impronunciabile!
;;Concept Drain;Concept Drain;Assorbi concetti
;;"Drains concepts and ideas from the
target's mind.";"Drains concepts and ideas from the
target's mind.";"Prosciuga concetti e idee dalla
mente del bersaglio."
;;%1 drains concepts!;%1 drains concepts!;%1 prosciuga i concetti!
;;Metamorphic Absurdity;Metamorphic Absurdity;Assurdità metamorfica
;;"Temporarily transforms the target
into a bizarre, non-functional form.";"Temporarily transforms the target
into a bizarre, non-functional form.";"Trasforma temporaneamente il bersaglio
in una forma bizzarra e non funzionale."
;;%1 causes surreal transformation!;%1 causes surreal transformation!;%1 provoca una trasformazione surreale!
;;Colors Out Of Space;Colors Out Of Space;Colori venuti dallo spazio
;;"Creates a whirling vortex of impossible
colors that damage the mind and body.";"Creates a whirling vortex of impossible
colors that damage the mind and body.";"Crea un vortice vorticoso di colori impossibili
che danneggiano la mente e il corpo."
;;%1 creates impossible colors!;%1 creates impossible colors!;%1 crea colori impossibili!
;;Recursive Dreamscape;Recursive Dreamscape;Paesaggio onirico ricorsivo
;;"Plunges the target into a dream within a
dream, causing deep sleep and confusion upon waking.";"Plunges the target into a dream within a
dream, causing deep sleep and confusion upon waking.";"Immerge il bersaglio in un sogno nel
sogno, provocando un sonno profondo e confusione al risveglio."
;;%1 creates recursive dreams!;%1 creates recursive dreams!;%1 crea sogni ricorsivi!
;;MultiversalMortality;MultiversalMortality;MortalitàMultiversale
;;"Causes the target to experience their
own death in all possible timelines simultaneously.";"Causes the target to experience their
own death in all possible timelines simultaneously.";"Fa sì che il bersaglio sperimenti la propria
morte in tutte le possibili linee temporali simultaneamente."
;;%1 reveals all possible deaths!;%1 reveals all possible deaths!;%1 rivela tutte le possibili morti!
;;Temporal Paradox;Temporal Paradox;Paradosso temporale
;;"Creates a paradoxical loop in
time that confuses and traps enemies.";"Creates a paradoxical loop in
time that confuses and traps enemies.";"Crea un ciclo paradossale nel tempo
che confonde e intrappola i nemici."
;;%1 creates a temporal paradox!;%1 creates a temporal paradox!;%1 crea un paradosso temporale!
;;Perceptual Inversion;Perceptual Inversion;Inversione percettiva
;;"Reverses the target's perceptions so they
see allies as enemies and vice versa.";"Reverses the target's perceptions so they
see allies as enemies and vice versa.";"Inverte la percezione del bersaglio, facendogli
vedere gli alleati come nemici e viceversa."
;;%1 inverts perceptions!;%1 inverts perceptions!;%1 inverte le percezioni!
;;TheOutsider;TheOutsider;Evoca Esterno
;;"Summons an impossible entity from outside
reality that annihilates everything it touches.";"Summons an impossible entity from outside
reality that annihilates everything it touches.";"Evoca un'entità impossibile da fuori
la realtà che annienta tutto ciò che tocca."
;;%1 summons an impossible entity!;%1 summons an impossible entity!;%1 evoca un'entità impossibile!
;;SpatialDissonance;SpatialDissonance;Spazial Dissonanza
;;"Causes the target to experience
being everywhere and nowhere simultaneously.";"Causes the target to experience
being everywhere and nowhere simultaneously.";"Fa sì che il bersaglio sperimenti
l'essere ovunque e in nessun luogo contemporaneamente."
;;%1 creates spatial dissonance!;%1 creates spatial dissonance!;%1 crea dissonanza spaziale!
;;RealityFailure;RealityFailure;FallimentoDellaRealtà
;;"Creates a cascading failure in the fabric
of reality, causing damage based on all stats.";"Creates a cascading failure in the fabric
of reality, causing damage based on all stats.";"Crea un fallimento a cascata nel tessuto
della realtà, causando danni basati su tutte le statistiche."
;;%1 causes a reality cascade!;%1 causes a reality cascade!;%1 provoca una cascata di realtà!
;;TinyFlame;TinyFlame;Mini Fiamma
;;"Creates a tiny flame
that barely singes the target.";"Creates a tiny flame
that barely singes the target.";"Crea una piccola fiamma
che brucia appena il bersaglio."
;;%1 creates a tiny flame!;%1 creates a tiny flame!;%1 crea una piccola fiamma!
;;Snowflake;Snowflake;Neve Fiocco
;;"Forms a single snowflake that
melts on contact with the target.";"Forms a single snowflake that
melts on contact with the target.";"Forma un singolo fiocco di neve che
si scioglie al contatto con il bersaglio."
;;%1 creates a snowflake!;%1 creates a snowflake!;%1 crea un fiocco di neve!
;;StaticZap;StaticZap;Zap Statico
;;"Creates a small static shock
that barely affects the target.";"Creates a small static shock
that barely affects the target.";"Crea una piccola scossa statica
che non ha quasi alcun effetto sul bersaglio."
;;%1 causes static electricity!;%1 causes static electricity!;%1 provoca elettricità statica!
;;WaterDroplet;WaterDroplet;Idro Goccia
;;"Conjures a few drops of
water that splash the target.";"Conjures a few drops of
water that splash the target.";"Evoca alcune gocce d'acqua
che schizzano sul bersaglio."
;;%1 splashes water!;%1 splashes water!;%1 schizza acqua!
;;PebbleToss;PebbleToss;Lancia Ciottolo
;;"Throws a tiny
pebble at the target.";"Throws a tiny
pebble at the target.";"Lancia un piccolo
sassolino contro il bersaglio."
;;%1 throws a pebble!;%1 throws a pebble!;%1 lancia un sassolino!
;;GentleBreeze;GentleBreeze;Gentil Brezza
;;"Creates a small breeze that
barely moves the target's hair.";"Creates a small breeze that
barely moves the target's hair.";"Crea una leggera brezza che
sposta appena i capelli del bersaglio."
;;%1 creates a small breeze!;%1 creates a small breeze!;%1 crea una piccola brezza!
;;LightSparkle;LightSparkle;Scinti Luce
;;"Creates a tiny sparkle of
light that's more pretty than damaging.";"Creates a tiny sparkle of
light that's more pretty than damaging.";"Crea un piccolo scintillio di
luce che è più bello che dannoso."
;;%1 creates a sparkle!;%1 creates a sparkle!;%1 crea una scintilla!
;;ShadowWisp;ShadowWisp;Surrurr Ombra
;;"Creates a small shadow that
briefly passes over the target.";"Creates a small shadow that
briefly passes over the target.";"Crea una piccola ombra che
sorvola brevemente il bersaglio."
;;%1 creates a tiny shadow!;%1 creates a tiny shadow!;%1 crea una piccola ombra!
;;PaperHeal;PaperHeal;Cura Carta
;;"Heals a minuscule amount
of HP, barely noticeable.";"Heals a minuscule amount
of HP, barely noticeable.";"Recupera una quantità minuscola
di HP, appena percettibile."
;;%1 casts minor healing!;%1 casts minor healing!;%1 lancia una cura minore!
;;Questionable Antidote;Questionable Antidote;Antidoto discutibile
;;"Has a very small chance to
cure poison, but usually does nothing.";"Has a very small chance to
cure poison, but usually does nothing.";"Ha una probabilità molto bassa di
curare il veleno, ma di solito non fa nulla."
;;%1 attempts to cure poison!;%1 attempts to cure poison!;%1 tenta di curare il veleno!
;;MinimalEncouragement;MinimalEncouragement;Mini incoraggiamento
;;"Slightly increases the target's Attack,
but the effect is barely noticeable.";"Slightly increases the target's Attack,
but the effect is barely noticeable.";"Aumenta leggermente l'Attacco del bersaglio,
ma l'effetto è appena percettibile."
;;%1 provides minimal encouragement!;%1 provides minimal encouragement!;%1 fornisce un incoraggiamento minimo!
;;WhisperedAdvice;WhisperedAdvice;Consiglio sussurrato
;;"Slightly increases the target's COS,
but the effect is barely noticeable.";"Slightly increases the target's COS,
but the effect is barely noticeable.";"Aumenta leggermente il COS del bersaglio,
ma l'effetto è appena percettibile."
;;%1 whispers defensive advice!;%1 whispers defensive advice!;%1 sussurra consigli difensivi!
;;WeakInsult;WeakInsult;Insulto debole
;;"Attempts to decrease an enemy's
Attack, but the effect is minimal.";"Attempts to decrease an enemy's
Attack, but the effect is minimal.";"Tenta di ridurre l'Attacco di un nemico,
ma l'effetto è minimo."
;;%1 makes a weak insult!;%1 makes a weak insult!;%1 insulta l’avversario!
;;"Drains a tiny amount
of HP from the target.";"Drains a tiny amount
of HP from the target.";"Prosciuga una piccola quantità
di HP dal bersaglio."
;;%1 drains a speck of life!;%1 drains a speck of life!;%1 prosciuga un granello di vita!
;;"Drains a minimal amount
of MP from the target.";"Drains a minimal amount
of MP from the target.";"Consuma una quantità minima
di PM dal bersaglio."
;;%1 siphons a drop of mana!;%1 siphons a drop of mana!;%1 succhia una goccia di mana!
;;MagicalPuff;MagicalPuff;Puff Magico
;;"Creates a very minor magical
effect that deals minimal damage.";"Creates a very minor magical
effect that deals minimal damage.";"Crea un effetto magico molto lieve
che infligge danni minimi."
;;%1 creates a magical puff!;%1 creates a magical puff!;%1 crea una nuvola magica!
;;WeaponWarming;WeaponWarming;Riscald Armi
;;"Attempts to imbue a weapon with
fire, but only makes it slightly warm.";"Attempts to imbue a weapon with
fire, but only makes it slightly warm.";"Tenta di infondere fuoco in un'arma,
ma la riscalda solo leggermente."
;;%1 slightly warms a weapon!;%1 slightly warms a weapon!;%1 scalda leggermente un'arma!
;;UselessFog;UselessFog;Inutil Nevvia
;;"Creates a light fog that
has no tactical advantage whatsoever.";"Creates a light fog that
has no tactical advantage whatsoever.";"Crea una leggera nebbia che
non offre alcun vantaggio tattico."
;;%1 creates a useless fog!;%1 creates a useless fog!;%1 crea una nebbia inutile!
;;MinorShift;MinorShift;Scostamento Minore
;;"Makes the target see slightly
altered colors for a few seconds.";"Makes the target see slightly
altered colors for a few seconds.";"Fa sì che il bersaglio veda colori leggermente
alterati per alcuni secondi."
;;%1 alters color perception!;%1 alters color perception!;%1 altera la percezione del colore!
;;Simple Tune;Simple Tune;Melodia semplice
;;"Creates a slightly pleasant melody
that has no combat effect.";"Creates a slightly pleasant melody
that has no combat effect.";"Crea una melodia leggermente piacevole
che non ha alcun effetto di combattimento."
;;%1 plays a simple tune!;%1 plays a simple tune!;%1 suona una melodia semplice!
;;Precision Thrust;Precision Thrust;Affondo di precisione
;;"A swift, precise stab targeting vital
areas with a blade or pointed weapon.";"A swift, precise stab targeting vital
areas with a blade or pointed weapon.";"Un colpo rapido e preciso che colpisce punti vitali
con una lama o un'arma appuntita."
;;%1 executes a precise thrust!;%1 executes a precise thrust!;%1 esegue un affondo preciso!
;;Wide Swing;Wide Swing;Grande swing
;;"A powerful horizontal sweep
that can hit multiple enemies.";"A powerful horizontal sweep
that can hit multiple enemies.";"Una potente spazzata orizzontale
che può colpire più nemici."
;;%1 performs a wide swing!;%1 performs a wide swing!;%1 esegue un ampio swing!
;;Overhead Smash;Overhead Smash;Colpo dall'alto
;;"A powerful downward strike
with full force behind it.";"A powerful downward strike
with full force behind it.";"Un potente colpo verso il basso
con tutta la sua forza."
;;%1 delivers an overhead smash!;%1 delivers an overhead smash!;%1 mette a segno un colpo potente!
;;Strike Flurry;Strike Flurry;Raffica di colpi
;;"Performs a flurry of quick
strikes that hit multiple times.";"Performs a flurry of quick
strikes that hit multiple times.";"Esegue una raffica di colpi rapidi
che colpiscono più volte."
;;%1 unleashes a flurry of strikes!;%1 unleashes a flurry of strikes!;%1 scatena una raffica di attacchi!
;;Uppercut Strike;Uppercut Strike;Montante KO
;;"A powerful upward strike
that can break through COS";"A powerful upward strike
that can break through COS";"Un potente colpo verso l'alto
che può sfondare il COS"
;;%1 performs an uppercut strike!;%1 performs an uppercut strike!;%1 esegue un colpo montante!
;;Weak Point Strike;Weak Point Strike;Colpisci punti deboli
;;"A precise strike targeting a
weak point in the enemy's COSs.";"A precise strike targeting a
weak point in the enemy's COSs.";"Un attacco preciso che colpisce un
punto debole del COS nemico."
;;%1 strikes a weak point!;%1 strikes a weak point!;%1 colpisce un punto debole!
;;Whirlwind Slash;Whirlwind Slash;Taglio vorticoso
;;"A spinning attack that
hits all enemies around you.";"A spinning attack that
hits all enemies around you.";"Un attacco rotante che
colpisce tutti i nemici intorno a te."
;;%1 performs a spinning attack!;%1 performs a spinning attack!;%1 esegue un attacco rotante!
;;Laceration Strike;Laceration Strike;Colpo lacerante
;;"A brutal attack that can
cause bleeding damage over time.";"A brutal attack that can
cause bleeding damage over time.";"Un attacco brutale che può
causare danni emorragici nel tempo."
;;%1 performs a laceration strike!;%1 performs a laceration strike!;%1 esegue un colpo lacerante!
;;Ground Slam;Ground Slam;Scaraventa a terra
;;"A crushing blow that slams
the enemy to the ground.";"A crushing blow that slams
the enemy to the ground.";"Un colpo devastante che scaraventa
il nemico a terra."
;;%1 performs a slam attack!;%1 performs a slam attack!;%1 esegue un attacco slam!
;;Swift Strike;Swift Strike;Colpo fulmineo
;;"A sudden, lightning-fast strike
that's difficult to evade.";"A sudden, lightning-fast strike
that's difficult to evade.";"Un colpo improvviso e fulmineo
difficile da evitare."
;;%1 delivers a swift strike!;%1 delivers a swift strike!;%1 sferra un colpo rapido!
;;Rapid Thrust;Rapid Thrust;Affondo rapido
;;"A series of rapid
thrusts with a pointed weapon.";"A series of rapid
thrusts with a pointed weapon.";"Una serie di rapidi
colpi con un'arma appuntita."
;;%1 delivers multiple thrusts!;%1 delivers multiple thrusts!;%1 esegue più affondi!
;;Pommel Strike;Pommel Strike;Colpo di pomolo
;;"A heavy blow with the pommel or
hilt of a weapon, potentially stunning the target.";"A heavy blow with the pommel or
hilt of a weapon, potentially stunning the target.";"Un colpo violento con il pomo o
l'elsa di un'arma, che potenzialmente stordisce il bersaglio."
;;%1 delivers a pommel strike!;%1 delivers a pommel strike!;%1 sferra un colpo con il pomolo!
